,Name,Weight (%),Identifier,Sector,Shares Held,yfinance_ticker
346,CLOROX COMPANY,0.044927,CLX,-,1473828.0,CLX
347,ESTEE LAUDER COMPANIES CL A,0.04473,EL,-,2762875.0,EL
348,BALL CORP,0.044349,BALL,-,3727659.0,BALL
349,CMS ENERGY CORP,0.043726,CMS,-,3474835.0,CMS
350,HUBBELL INC,0.043691,HUBB,-,636604.0,HUBB
351,TELEDYNE TECHNOLOGIES INC,0.043629,TDY,-,559065.0,TDY
352,BAXTER INTERNATIONAL INC,0.043391,BAX,-,6019271.0,BAX
353,PTC INC,0.043124,PTC,-,1414596.0,PTC
354,OMNICOM GROUP,0.04293,OMC,-,2349831.0,OMC
355,WESTERN DIGITAL CORP,0.042835,WDC,-,3809568.0,WDC
356,WATERS CORP,0.042776,WAT,-,703046.0,WAT
357,SUPER MICRO COMPUTER INC,0.042769,SMCI,-,598125.0,SMCI
358,ATMOS ENERGY CORP,0.042764,ATO,-,1767018.0,ATO
359,SYNCHRONY FINANCIAL,0.04266,SYF,-,4863102.0,SYF
360,ESSEX PROPERTY TRUST INC,0.042107,ESS,-,763131.0,ESS
361,HOLOGIC INC,0.042081,HOLX,-,2788198.0,HOLX
362,EQT CORP,0.042068,EQT,-,7026080.0,EQT
363,MOLINA HEALTHCARE INC,0.041874,MOH,-,691071.0,MOH
364,BEST BUY CO INC,0.041815,BBY,-,2294392.0,BBY
365,LABCORP HOLDINGS INC,0.041756,LH,-,1007893.0,LH
366,CITIZENS FINANCIAL GROUP,0.041642,CFG,-,5531059.0,CFG
367,DARDEN RESTAURANTS INC,0.041612,DRI,-,1428569.0,DRI
368,SEAGATE TECHNOLOGY HOLDINGS,0.041606,STX,-,2294990.0,STX
369,GENUINE PARTS CO,0.041414,GPC,-,1666623.0,GPC
370,TYSON FOODS INC CL A,0.041361,TSN,-,3393693.0,TSN
371,APTIV PLC,0.040929,APTV,-,3229765.0,APTV
372,TERADYNE INC,0.040834,TER,-,1817135.0,TER
373,MID AMERICA APARTMENT COMM,0.040656,MAA,-,1377374.0,MAA
374,ALEXANDRIA REAL ESTATE EQUIT,0.039875,ARE,-,1853224.0,ARE
375,DOLLAR GENERAL CORP,0.039829,DG,-,2606723.0,DG
376,PACKAGING CORP OF AMERICA,0.039736,PKG,-,1064171.0,PKG
377,ULTA BEAUTY INC,0.039508,ULTA,-,580889.0,ULTA
378,NORTHERN TRUST CORP,0.03947,NTRS,-,2461617.0,NTRS
379,WR BERKLEY CORP,0.039424,WRB,-,3630469.0,WRB
380,JACOBS SOLUTIONS INC,0.03933,J,-,1497899.0,J
381,SOUTHWEST AIRLINES CO,0.038862,LUV,-,7071965.0,LUV
382,AVERY DENNISON CORP,0.038492,AVY,-,959091.0,AVY
383,CENTERPOINT ENERGY INC,0.037907,CNP,-,7510086.0,CNP
384,COTERRA ENERGY INC,0.037866,CTRA,-,8929032.0,CTRA
385,EXPEDITORS INTL WASH INC,0.03755,EXPD,-,1677235.0,EXPD
386,QUEST DIAGNOSTICS INC,0.037472,DGX,-,1324292.0,DGX
387,PRINCIPAL FINANCIAL GROUP,0.037339,PFG,-,2602939.0,PFG
388,MASCO CORP,0.037302,MAS,-,2610770.0,MAS
389,EXPEDIA GROUP INC,0.036878,EXPE,-,1506962.0,EXPE
390,TEXTRON INC,0.036872,TXT,-,2325029.0,TXT
391,EVEREST GROUP LTD,0.036361,EG,-,512583.0,EG
392,ZEBRA TECHNOLOGIES CORP CL A,0.036161,ZBRA,-,609272.0,ZBRA
393,STEEL DYNAMICS INC,0.036022,STLD,-,1753936.0,STLD
394,INTERNATIONAL PAPER CO,0.035849,IP,-,4112759.0,IP
395,VERISIGN INC,0.035453,VRSN,-,1053719.0,VRSN
396,FACTSET RESEARCH SYSTEMS INC,0.035398,FDS,-,451184.0,FDS
397,WARNER BROS DISCOVERY INC,0.035211,WBD,-,26357946.0,WBD
398,AMCOR PLC,0.035183,AMCR,-,17161673.0,AMCR
399,NRG ENERGY INC,0.035043,NRG,-,2475437.0,NRG
400,CARNIVAL CORP,0.034658,CCL,-,11953715.0,CCL
401,SKYWORKS SOLUTIONS INC,0.034657,SWKS,-,1896011.0,SWKS
402,ALIGN TECHNOLOGY INC,0.034644,ALGN,-,846664.0,ALGN
403,CONAGRA BRANDS INC,0.034219,CAG,-,5648742.0,CAG
404,HEALTHPEAK PROPERTIES INC,0.034182,DOC,-,8401138.0,DOC
405,KIMCO REALTY CORP,0.033668,KIM,-,7915009.0,KIM
406,UNITED AIRLINES HOLDINGS INC,0.033138,UAL,-,3892625.0,UAL
407,MARATHON OIL CORP,0.033111,MRO,-,6697393.0,MRO
408,INSULET CORP,0.033,PODD,-,830516.0,PODD
409,STANLEY BLACK + DECKER INC,0.03287,SWK,-,1828070.0,SWK
410,NISOURCE INC,0.032696,NI,-,5322635.0,NI
411,ENPHASE ENERGY INC,0.032584,ENPH,-,1620838.0,ENPH
412,ALLIANT ENERGY CORP,0.032467,LNT,-,2995437.0,LNT
413,KEYCORP,0.032339,KEY,-,11132425.0,KEY
414,IDEX CORP,0.032271,IEX,-,893777.0,IEX
415,LAS VEGAS SANDS CORP,0.032223,LVS,-,4386726.0,LVS
416,AKAMAI TECHNOLOGIES INC,0.032009,AKAM,-,1791955.0,AKAM
417,LOEWS CORP,0.031931,L,-,2173752.0,L
418,CF INDUSTRIES HOLDINGS INC,0.031539,CF,-,2169758.0,CF
419,SNAP ON INC,0.031517,SNA,-,628923.0,SNA
420,GEN DIGITAL INC,0.031419,GEN,-,6690681.0,GEN
421,BUNGE GLOBAL SA,0.031393,BG,-,1723556.0,BG
422,DOMINO S PIZZA INC,0.031312,DPZ,-,414277.0,DPZ
423,REVVITY INC,0.031291,RVTY,-,1465339.0,RVTY
424,PENTAIR PLC,0.030701,PNR,-,1949323.0,PNR
425,UNIVERSAL HEALTH SERVICES B,0.030683,UHS,-,723687.0,UHS
426,ROLLINS INC,0.030582,ROL,-,3333059.0,ROL
